0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
493	43611 21133	   	154.16	ACR|1AART|1VULN|1DMG|1CDMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6LHND|7DMG|8AART|9MLV|aVULN
494	43611 21163	   	154.16	ACR|1AART|1DMG|1VULN|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6LHND|7DMG|8AART|9CGEN|aVULN
495	43611 41133	   	154.16	ACR|1AART|1VULN|1DMG|1CDMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6BEXP|7DMG|8AART|9MLV|aVULN
496	33211 52234	   	154.15	DCR|3VULN|1AART|2DUR	1MGNLIT|29aVULN|3LWND|47DUR|5DUST|6RCR|8AART
497	53331 56123	   	154.10	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ASPD|aAART
498	33112 15114	   	154.09	DCR|2AART|2VULN|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4aAART|5ASPD|6RCR|7RPLT|8RMIN
499	33112 15514	   	154.09	DCR|2AART|2VULN|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4aAART|5ASPD|6RCR|7RPLT|8MLV
500	43631 12313	 * 	154.08	DCR|2VULN|1AART|2CDMG|2ASPD	136LIT|23ASPD|36BPWR|49VULN|56CDMG|7BEXP|8RCR|aAART
501	13343 24322	   	153.99	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RPLT|3VULN|4MBVNT|5LIT|6RCR|7AART|8CDMG|9ZMB|aDMG
502	25126 12336	   	153.97	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MLV|2CDMG|3DMG|4BEXP|5VULN|6BELT|7RCR|8AART|9DUR|aASPD
503	33112 13122	   	153.93	DCR|1AART|1VULN|1DMG|2ASPD|1DUR	1MGNLIT|2VULN|3DUR|4AART|5aASPD|6RCR|7RCVC|8LIT|9DMG
504	11524 11121	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	19CGEN|2LIT|3VULN|48aAART|5DUR|6RCR|7DMG
505	11524 14232	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	1CGEN|2LIT|3VULN|479AART|5DUR|6RCR|8RPLT|aDMG
506	21524 11115	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	1MLV|2LIT|3VULN|48aAART|5DUR|6RCR|7DMG|9LHND
507	21524 14232	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	1MLV|2LIT|3VULN|479AART|5DUR|6RCR|8RPLT|aDMG
508	42324 11121	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	1LIT|2VULN|39CGEN|48aAART|5DUR|6RCR|7DMG
509	42324 14232	   	153.90	DCR|3AART|1VULN|1DMG|1DUR	1LIT|2VULN|3CGEN|479AART|5DUR|6RCR|8RPLT|aDMG
510	15215 12135	   	153.85	DCR|2VULN|1AART|1CDMG|2DUR	1CGEN|2CDMG|3FEWX|48VULN|5RCVC|6RCR|79DUR|aAART
511	25413 12133	   	153.85	DCR|2VULN|1AART|1CDMG|2DUR	1MLV|2CDMG|3LHND|48VULN|5RCVC|6RCR|79DUR|aAART
512	32432 31341	   	153.84	DCR|3DMG|3ZMB|1ASPD	1aMGNLIT|2ASPD|39aZMB|4RCVC|58aDMG|6RPLT|7RCR|aBPWR
513	14316 32322	   	153.83	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2LHND|3FEWX|4DMG|5ZMB|6AART|7LWND|8RCR|9aVULN
514	61416 32322	   	153.83	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2CGEN|3LHND|4DMG|5ZMB|6AART|7LWND|8RCR|9aVULN
515	62216 34323	   	153.83	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LWND|3CGEN|4DMG|5ZMB|6AART|79VULN|8RCR|aBELT
516	63411 34323	   	153.83	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4DMG|5CGEN|6AART|79VULN|8RCR|aBELT
517	65216 32322	   	153.83	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LHND|3CGEN|4DMG|5ZMB|6AART|7LWND|8RCR|9aVULN
518	33122 13413	 * 	153.76	DCR|2VULN|1DMG|2ASPD|1CDMG|1DUR	1MGNLIT|28VULN|3DUR|4BEXP|5DMG|69ASPD|7RCR|aCDMG
519	33124 53413	   	153.76	DCR|2VULN|1DMG|2ASPD|1CDMG|1DUR	1MGNLIT|28VULN|3DUR|4BEXP|59ASPD|6DMG|7RCR|aCDMG
520	62216 34321	   	153.73	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2LWND|3CGEN|4DMG|5ZMB|6AART|79VULN|8RCR|aDUST
521	63411 34321	   	153.73	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4DMG|5CGEN|6AART|79VULN|8RCR|aDUST
522	33112 11212	   	153.64	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|aLHND
523	33112 11216	   	153.64	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|aLIT
524	33112 11535	   	153.64	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|2aVULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8FEWX|9BELT
525	33112 16635	   	153.64	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|2aVULN|3DUR|4AART|5ASPD|6RCR|7LHND|8ZMB|9BELT
526	11261 21356	   	153.61	DCR|2DMG|1VULN|1CDMG|1ZMB|1DUR	1CGEN|24LIT|3DUR|5CDMG|6RCR|79DMG|8ZMB|aVULN
527	21221 21356	   	153.61	DCR|2DMG|1VULN|1CDMG|1ZMB|1DUR	14MLV|2LIT|3DUR|5CDMG|6RCR|79DMG|8ZMB|aVULN
528	21231 21356	   	153.61	DCR|2DMG|1VULN|1CDMG|1ZMB|1DUR	1MLV|24LIT|3DUR|5CDMG|6RCR|79DMG|8ZMB|aVULN
529	22261 21356	   	153.61	DCR|2DMG|1VULN|1CDMG|1ZMB|1DUR	13MLV|2DUR|4LIT|5CDMG|6RCR|79DMG|8ZMB|aVULN
530	33112 11215	   	153.54	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|aTLV
531	33112 11261	   	153.54	DCR|2VULN|1AART|1ZMB|1DUR|1ASPD	1MGNLIT|2aVULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|9DUST
532	33112 11434	   	153.54	DCR|2VULN|1AART|1ZMB|1ASPD|1DUR	1MGNLIT|2aVULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8DMSP|9DUST
533	33214 43124	   	153.54	DCR|2VULN|1AART|2DUR|1ZMB|1ASPD	1MGNLIT|2aVULN|3LWND|48DUR|5ASPD|6ZMB|7RCR|9AART
534	33254 21161	   	153.48	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|25VULN|3LWND|4MLV|6CGEN|7AART|8CDMG|9RCR|aDMG
535	33212 13436	   	153.46	DCR|2VULN|1DMG|2CDMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9aCDMG
536	33116 31416	   	153.43	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1MGNLIT|2VULN|3DUR|48AART|5BASICY|6RCVC|7ZMB|9DMG|aRCR
537	12146 62223	   	153.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	14CGEN|25DUR|35ERES|5BPWR|6RCR|7CDMG|8VULN|9DMG|aAART
538	12166 62223	   	153.42	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	1CGEN|25DUR|35ERES|4DMSP|5BPWR|6RCR|7CDMG|8VULN|9DMG|aAART
539	33254 11161	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|25VULN|3LWND|4MLV|6ERES|7AART|8CDMG|9RCR|aDMG
540	33256 31161	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|26VULN|3LWND|4MLV|5ERES|7AART|8CDMG|9RCR|aDMG
541	33331 51161	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|25VULN|3ERES|4CGEN|6LWND|7AART|8CDMG|9RCR|aDMG
542	13132 61361	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|2RPLT|3DMSP|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aFEWX
543	13132 61362	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|2RPLT|3DMSP|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aBEXP
544	13132 61363	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|2RPLT|3DMSP|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aLWND
545	13532 61361	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|23RPLT|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aFEWX
546	13532 61362	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|23RPLT|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aBEXP
547	13532 61363	   	153.37	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|23RPLT|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aLWND
548	13331 56112	   	153.37	DCR|3VULN|1DMG|1CDMG|1DUR	1CGEN|2RPLT|36aVULN|4DMG|5DUST|7DUR|8RCR|9CDMG
549	23331 56112	   	153.37	DCR|3VULN|1DMG|1CDMG|1DUR	1MLV|2RPLT|36aVULN|4DMG|5DUST|7DUR|8RCR|9CDMG
550	52112 62223	   	153.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	13ERES|24DUR|5CGEN|6RCR|7CDMG|8VULN|9DMG|aAART
551	33224 31161	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|26VULN|3LWND|4ERES|5TLV|7AART|8CDMG|9RCR|aDMG
552	33321 66161	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	1MGNLIT|24VULN|34ERES|4BPWR|5DUST|6RMIN|7AART|8CDMG|9RCR|aDMG
553	13132 61366	   	153.27	ACR|2VULN|2DMG|1ZMB|1DUR	18CGEN|2RPLT|3DMSP|4DUR|5RCR|68DMG|78VULN|8BPWR|9ZMB|aDUST
554	53331 56112	   	153.27	DCR|3VULN|1DMG|1CDMG|1DUR	1ERES|2RPLT|36aVULN|4DMG|5DUST|7DUR|8RCR|9CDMG
555	33211 53115	   	153.26	DCR|2VULN|1AART|1DMG|1DUR	1MGNLIT|29VULN|3LWND|4DUR|5DUST|6RCR|7RPLT|8AART|aDMG
556	45242 31313	   	153.24	DCR|2AART|1DMG|1VULN|1CDMG	1LIT|2CDMG|3DUST|4VULN|5LHND|6RCR|7DMG|8LWND|9aAART
557	11553 31443	   	153.18	ACR|3VULN|2DMG	17CGEN|2LIT|369VULN|4RCR|5MBVNT|8aDMG
558	42353 31443	   	153.18	ACR|3VULN|2DMG	1LIT|269VULN|37CGEN|4RCR|5MBVNT|8aDMG
559	13353 36411	   	153.17	ACR|2VULN|2DMG|1ZMB|1DUR	1CGEN|2RPLT|3aVULN|4MGNSTR|5RCR|67DMG|8DUR|9ZMB
560	31433 36411	   	153.17	ACR|2VULN|2DMG|1ZMB|1DUR	1MGNLIT|2RPLT|3CGEN|4aVULN|5RCR|67DMG|8DUR|9ZMB
561	45331 34223	 * 	153.16	DCR|2VULN|2DMG|1CDMG	1LIT|2CDMG|3ERES|4RMIN|59VULN|6RCR|7FEWX|8aDMG
562	12415 22332	   	153.10	DCR|2VULN|2DMG|1CDMG|1DUR	15CGEN|2DUR|3LHND|45DMG|5BPWR|6CDMG|7aVULN|8LWND|9RCR
563	22415 22332	   	153.10	DCR|2VULN|2DMG|1CDMG|1DUR	15MLV|2DUR|3LHND|45DMG|5BPWR|6CDMG|7aVULN|8LWND|9RCR
564	45632 31233	   	153.07	DCR|2DMG|1AART|3CDMG	1LIT|259CDMG|3AART|45BEXP|5BPWR|6aDMG|7RCR|8RPLT
565	61332 31433	 * 	153.06	DCR|3DMG|2VULN	1aBEXP|2CGEN|3BELT|49aDMG|5LIT|6FEWX|7RCR|8aVULN|aBPWR
566	45331 35223	   	153.06	DCR|2VULN|2DMG|1CDMG	1LIT|2CDMG|3ERES|4RMIN|59VULN|6RCR|7DUST|8aDMG
567	43612 23121	 * 	153.05	ACR|2AART|1VULN|1DMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5RMIN|6aAART|7DMG|8NUKE|9VULN
568	13344 77324	   	152.99	DCR|2AART|1VULN|1DMG|1ZMB	1CGEN|2RPLT|3VULN|4MBVNT|57AART|6RCR|8LIT|9ZMB|aDMG
569	61332 21433	   	152.96	DCR|3DMG|2VULN	1aBEXP|2CGEN|3BELT|49aDMG|5LIT|6DUST|7RCR|8aVULN|aBPWR
570	43611 21153	 * 	152.84	ACR|1AART|1DMG|2CDMG|2ASPD|2DUR	13aLIT|23ASPD|3aBPWR|4RCR|5aCDMG|6LHND|7DMG|8AART|9aDUR
571	53332 61343	   	152.78	DCR|2VULN|1AART|1DMG|2ZMB	1ERES|2RPLT|37VULN|4DMG|59ZMB|6AART|8LIT|aRCR
572	33113 61165	   	152.77	DCR|1AART|1VULN|1DMG|2ZMB|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5FEWX|6DMG|7aZMB|8ASPD|9RCR
573	11256 11114	 * 	152.74	ACR|1AART|1VULN|1DMG|1CDMG|2DUR	1CGEN|29LIT|36DUR|4RCR|5CDMG|7DMG|8AART|aVULN
574	21256 11114	   	152.74	ACR|1AART|1VULN|1DMG|1CDMG|2DUR	1MLV|29LIT|36DUR|4RCR|5CDMG|7DMG|8AART|aVULN
575	21256 11134	   	152.74	ACR|1AART|1VULN|1DMG|1CDMG|2DUR	19MLV|2LIT|36DUR|4RCR|5CDMG|7DMG|8AART|aVULN
576	15235 22312	   	152.67	DCR|2DMG|1AART|2CDMG|1DUR	19CGEN|29CDMG|3FEWX|4DUR|5RCVC|6RMIN|7RCR|89DMG|9BPWR|aAART
577	33251 23725	 * 	152.67	DCR|3VULN|1AART|2ASPD	18MGNLIT|28aVULN|3LWND|4MLV|58ASPD|6MBVNT|7RCR|8BPWR|9AART
578	53344 74414	   	152.62	DCR|2VULN|1AART|1CDMG|1ZMB	1ERES|2RPLT|3aVULN|4MBVNT|5AART|6RCR|7ZMB|8CDMG|9RMIN
579	63342 21122	   	152.54	ACR|3VULN|1AART|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69aVULN|7AART|8LWND
580	63342 21222	   	152.54	ACR|3VULN|1AART|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69aVULN|7AART|8LHND
581	63342 21415	   	152.54	ACR|3VULN|1AART|1ZMB	18BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69aVULN|7AART
582	63342 26111	   	152.54	ACR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7DMG|8DUR|aCDMG
583	33122 54113	   	152.50	DCR|3DMG|2VULN|1DUR	1MGNLIT|27VULN|3DUR|4BEXP|569DMG|8ERES|aRCR
584	33212 54113	   	152.50	DCR|3DMG|2VULN|1DUR	1MGNLIT|27VULN|3LWND|4DUR|569DMG|8ERES|aRCR
585	53344 46444	   	152.47	DCR|3VULN|1AART|1CDMG	1ERES|2RPLT|39aVULN|4MBVNT|5AART|6FEWX|7CDMG|8RCR
586	33122 13443	   	152.44	DCR|2VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|28VULN|39DUR|4BEXP|5DMG|6ASPD|7RCR|aCDMG
587	33212 13133	   	152.44	DCR|2VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2aVULN|3LWND|48DUR|5DMG|6ASPD|7RCR|9CDMG
588	33214 53133	   	152.44	DCR|2VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2aVULN|3LWND|48DUR|5ASPD|6DMG|7RCR|9CDMG
589	53112 61162	   	152.39	ACR|3VULN|1AART|1CDMG	1ERES|2RPLT|39DMSP|47aVULN|5RCR|6AART|8CDMG
590	13333 15632	   	152.37	DCR|2AART|2DMG|1VULN	1CGEN|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aLHND
591	13333 15633	   	152.37	DCR|2AART|2DMG|1VULN	1CGEN|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aMLV
592	23333 15632	   	152.37	DCR|2AART|2DMG|1VULN	1MLV|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aLHND
593	23333 15633	   	152.37	DCR|2AART|2DMG|1VULN	1aMLV|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR
594	33212 43145	 * 	152.29	DCR|1AART|1VULN|1DMG|3DUR|1ZMB	1MGNLIT|2VULN|3LWND|489DUR|5DMG|6ZMB|7RCR|aAART
595	13333 15636	   	152.27	DCR|2AART|2DMG|1VULN	1CGEN|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aERES
596	23333 15636	   	152.27	DCR|2AART|2DMG|1VULN	1MLV|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aERES
597	53333 15632	   	152.27	DCR|2AART|2DMG|1VULN	1ERES|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aLHND
598	53333 15633	   	152.27	DCR|2AART|2DMG|1VULN	1ERES|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aMLV
599	25233 16521	   	152.24	DCR|2VULN|1AART|1CDMG|2DUR	1MLV|2CDMG|3FEWX|45DUR|6RCR|7CGEN|8AART|9aVULN
600	13333 42123	   	152.18	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|36VULN|4DMG|5AART|7ERES|8CDMG|9BEXP|aRCR
601	13333 42162	   	152.18	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|36VULN|4DMG|5AART|7ERES|8CDMG|9DMSP|aRCR
602	53333 12634	   	152.17	DCR|2AART|2DMG|1VULN	17ERES|2RPLT|3VULN|4aDMG|56AART|8NUKE|9RCR
603	33633 31125	   	152.16	DCR|2VULN|1AART|1DMG|1ASPD	14MGNLIT|28VULN|3LIT|5LSRICY|6AART|7RCR|9ASPD|aDMG
604	42233 55231	   	152.16	DCR|2VULN|1AART|1DMG|1DUR	1LIT|27VULN|3BELT|48CGEN|5DUR|6RCR|9DMG|aAART
605	25233 13521	   	152.14	DCR|2VULN|1AART|1CDMG|2DUR	1MLV|2CDMG|3FEWX|45DUR|6RCR|7ERES|8AART|9aVULN
606	21253 35631	   	152.09	ACR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|3DUR|4RCR|56VULN|7BELT|8RCVC|9DMG|aAART
607	33112 43534	 * 	152.08	DCR|2AART|2VULN|2DUR|1ASPD	1MGNLIT|27VULN|36DUR|4aAART|5ASPD|8LEGI|9RCR
608	13333 42143	   	152.08	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|36VULN|4DMG|5AART|7ERES|8CDMG|9DUST|aRCR
609	13333 42153	   	152.08	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|36VULN|4DMG|5AART|7ERES|8CDMG|9LEGI|aRCR
610	52332 35422	 * 	151.97	DCR|2VULN|1DMG|2ZMB|2DUR|1SELL	18ERES|2aDUR|38ZMB|4RCVC|5SELL|6RCR|78VULN|8BPWR|9DMG
611	32123 31556	   	151.96	DCR|2VULN|1AART|1DMG|1ASPD	1MGNLIT|2ASPD|3DUST|4AIRHEL|5DMG|6AART|7RCR|8FEWX|9aVULN
612	33132 26436	   	151.96	DCR|2VULN|1AART|1DMG|2DUR	1MGNLIT|2aVULN|34DUR|5DMG|6CGEN|7AART|8TLV|9RCR
613	13344 71164	   	151.94	DCR|2AART|2VULN|2DUR	1aCGEN|2RPLT|3aVULN|4MBVNT|59AART|6RCR|7RMIN|8aDUR|aBPWR
614	13344 71414	   	151.94	DCR|2AART|2VULN|2DUR	1aCGEN|2RPLT|3aVULN|4MBVNT|58AART|6RCR|7RMIN|9aDUR|aBPWR
615	33343 24323	   	151.94	DCR|1AART|1VULN|2CDMG|1DMG|1DUR	1MGNLIT|2VULN|3ERES|4DUST|5DUR|6AART|7aCDMG|8RCR|9DMG
616	13112 36525	   	151.85	ACR|2VULN|1AART|1DMG|1ZMB	17CGEN|2RPLT|3DMSP|46VULN|5RCR|8ZMB|9DMG|aAART
617	13353 36612	   	151.85	ACR|2DMG|1AART|1VULN|1ZMB	1CGEN|2RPLT|3VULN|4MGNSTR|5RCR|67DMG|8FEWX|9ZMB|aAART
618	31433 36612	   	151.85	ACR|2DMG|1AART|1VULN|1ZMB	1MGNLIT|2RPLT|3CGEN|4VULN|5RCR|67DMG|8FEWX|9ZMB|aAART
619	11524 11612	   	151.83	DCR|1AART|1DMG|1VULN|1CDMG|1DUR	1CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aRPLT
620	11524 11632	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	19CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|aRPLT
621	11524 11633	   	151.83	DCR|1AART|1DMG|1VULN|1CDMG|1DUR	19CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|aLWND
622	21524 11232	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aRPLT
623	21524 11233	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aLWND
624	21524 11236	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aLHND
625	21524 11612	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aRPLT
626	21524 11631	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9CGEN|aLWND
627	21524 11633	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9CGEN|aDMSP
628	42324 11612	   	151.83	DCR|1AART|1DMG|1VULN|1CDMG|1DUR	1LIT|2VULN|3CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aRPLT
629	42324 11632	   	151.83	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2VULN|39CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|aRPLT
630	42324 11633	   	151.83	DCR|1AART|1DMG|1VULN|1CDMG|1DUR	1LIT|2VULN|39CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|aLWND
631	12142 35623	   	151.82	DCR|2VULN|1AART|1DMG|1DUR|1SELL	14CGEN|2DUR|3ERES|5SELL|6RCR|78VULN|9DMG|aAART
632	12162 35623	   	151.82	DCR|2VULN|1AART|1DMG|1DUR|1SELL	1CGEN|2DUR|3ERES|4DMSP|5SELL|6RCR|78VULN|9DMG|aAART
633	33663 31113	   	151.82	DCR|3VULN|1AART|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aCGEN
634	33663 31114	   	151.82	DCR|3VULN|1AART|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aMLV
635	33663 31116	   	151.82	DCR|3VULN|1AART|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aFEWX
636	33122 15264	 * 	151.78	DCR|2VULN|2DMG|2DUR|1ASPD	1MGNLIT|28VULN|3aDUR|4BEXP|58DMG|6ASPD|78LIT|8BPWR|9RCR
637	33112 14635	   	151.75	DCR|2AART|1VULN|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4aAART|5ASPD|6RCR|7CDMG|8FEWX|9RCVC
638	33136 23235	   	151.75	DCR|3VULN|1AART|2DUR	1MGNLIT|29aVULN|34DUR|5LHND|6MBVNT|7RCR|8AART
639	53344 71414	   	151.74	DCR|2AART|2VULN|2DUR	1aERES|2RPLT|3aVULN|4MBVNT|58AART|6RCR|7RMIN|9aDUR|aBPWR
640	51524 11232	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1ERES|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aRPLT
641	51524 11233	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1ERES|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aLWND
642	11524 11423	   	151.73	DCR|1AART|1DMG|1VULN|2ASPD|1DUR	1CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8LHND|9aASPD
643	11524 11631	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	19CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|aDLOT
644	21524 11231	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aDLOT
645	21524 11234	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aDUST
646	21524 11423	   	151.73	DCR|1AART|1VULN|1DMG|2ASPD|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8LHND|9aASPD
647	21524 11632	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9CGEN|aDUST
648	42324 11423	   	151.73	DCR|1AART|1DMG|1VULN|2ASPD|1DUR	1LIT|2VULN|3CGEN|4AART|5DUR|6RCR|7DMG|8LHND|9aASPD
649	42324 11631	   	151.73	DCR|1AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2VULN|39CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|aDLOT
650	33663 31112	   	151.72	DCR|3VULN|1AART|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aERES
651	21522 34116	   	151.72	DCR|4VULN|1AART	17aMLV|267LIT|357aVULN|4AART|7aBPWR|8aCGEN|9RCR
652	32214 53421	   	151.67	DCR|2VULN|1AART|1DMG|1ASPD	1MGNLIT|2ASPD|3LHND|4LWND|58VULN|6DMG|7RCR|9AART|aRCVC
653	33212 13264	   	151.66	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|8aAART|9BASHEA
